"filename", "language", "JavaScript", "Objective-C", "XML", "Objective-C++", "C++", "JSON", "Java Properties", "Groovy", "Batch", "Makefile", "Java", "comment", "blank", "total"
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\ios\instgram_clone_fullstack\LaunchScreen.storyboard", "XML", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 48
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\ios\instgram_clone_fullstack\main.m", "Objective-C", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\metro.config.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 18
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\package.json", "JSON", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 1, 49
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\react-native.config.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\api\server.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\components\Button.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\components\Divider.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\components\FollowButton.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 65
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\components\Logo.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\components\NoPosts.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 39
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\components\SmallIconButton.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\components\Varsel.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\constants\icons.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\constants\theme.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\constants\values.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\context\AuthContext.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 65
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\context\MockContext.js", "JavaScript", 429, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 443
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\context\UserContext.js", "JavaScript", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 109
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\context\UsersContext.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 80
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\Activity\Activity.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\Activity\components\ActivityTemplate.js", "JavaScript", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 107
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\Activity\components\ActivityTimeline.js", "JavaScript", 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 152
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\Activity\components\Suggestions.js", "JavaScript", 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 143
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\Authentication\Components\AlternateRoute.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\Authentication\Components\FilledButton.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\Authentication\Components\OutlineButton.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\Authentication\Components\TextField.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 58
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\Authentication\InitialPage\IntialPage.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 45
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\Authentication\Login\Login.js", "JavaScript", 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 129
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\Authentication\Signup\Signup.js", "JavaScript", 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 150
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\EditProfile\EditProfile.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\EditProfile\EditTextPage\EditTextPage.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 67
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\EditProfile\components\Header.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 60
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\EditProfile\components\NavigationEditText.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 48
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\EditProfile\components\ProfileForm.js", "JavaScript", 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 134
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\Home\Home.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\Home\Posts\Post\Post.js", "JavaScript", 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 166
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\Home\Posts\Posts.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\Home\Stories\Stories.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 44
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\Home\Stories\components\Story.js", "JavaScript", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 90
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\Home\components\Header.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 51
